日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
110/01/13,"56,909,257","1,412,065,887",25.35,25.70,24.00,24.00,-1.70,"11,653"
110/01/14,"47,688,455","1,231,445,145",24.75,26.40,24.75,25.90,+1.90,"8,255"
110/01/15,"28,710,087","676,194,654",25.10,25.10,23.35,23.35,-2.55,"7,219"
110/01/18,"61,733,516","1,398,358,271",23.00,23.80,21.30,23.80,+0.45,"10,523"
110/01/19,"388,985,114","9,355,814,753",26.15,26.15,21.70,21.85,-1.95,"97,822"
110/01/20,"311,859,804","6,501,313,797",21.90,22.40,20.00,20.20,-1.65,"68,608"
110/01/21,"274,234,990","5,841,227,148",20.85,22.20,20.40,20.85,+0.65,"59,928"
110/01/22,"199,178,481","4,323,995,374",20.90,22.80,20.30,22.60,+1.75,"51,823"
110/01/25,"198,129,596","4,616,719,317",22.95,24.00,22.60,23.00,+0.40,"50,668"
110/01/26,"149,173,794","3,323,680,317",23.10,23.50,21.50,21.60,-1.40,"37,900"
110/01/27,"130,719,280","2,768,060,026",21.80,22.15,20.65,20.80,-0.80,"30,367"
110/01/28,"139,089,259","2,896,180,233",20.15,21.40,19.65,20.70,-0.10,"31,815"
110/01/29,"123,509,181","2,486,621,265",21.05,21.10,19.45,19.75,-0.95,"33,738"
110/02/01,"164,457,754","3,171,750,683",19.70,19.95,18.75,19.05,-0.70,"38,247"
110/02/02,"213,074,179","4,319,028,156",19.30,20.95,19.10,20.95,+1.90,"38,093"
110/02/03,"347,000,366","7,514,157,955",21.25,22.40,21.05,21.60,+0.65,"77,702"
110/02/04,"154,012,800","3,358,297,330",21.45,22.20,21.35,21.95,+0.35,"36,244"
110/02/05,"115,482,983","2,514,315,870",22.10,22.20,21.40,21.50,-0.45,"28,323"
110/02/17,"219,033,991","4,956,764,140",22.10,23.65,21.70,23.65,+2.15,"47,193"
110/02/18,"356,237,830","8,927,053,548",24.20,25.95,24.10,25.55,+1.90,"90,493"
110/02/19,"189,248,898","4,782,306,767",25.50,25.95,24.70,25.60,+0.05,"52,883"
110/02/22,"211,635,130","5,924,732,461",28.15,28.15,27.30,28.15,+2.55,"49,423"
110/02/23,"393,750,362","11,362,650,191",28.15,30.05,27.85,28.25,+0.10,"100,009"
110/02/24,"241,515,907","6,917,935,203",28.90,29.50,27.90,27.90,-0.35,"62,813"
110/02/25,"204,089,944","5,871,727,000",28.95,29.50,28.15,28.50,+0.60,"51,047"
110/02/26,"205,961,094","5,841,803,723",27.95,29.15,27.50,29.00,+0.50,"51,212"
110/03/02,"378,370,445","10,796,377,732",29.55,30.25,26.10,27.10,-1.90,"96,688"
110/03/03,"200,403,282","5,423,139,115",27.65,27.70,26.25,27.60,+0.50,"49,815"
